Number of Processes: 150
1, 0, 70
2, 1, 77
3, 4, 34
4, 5, 46
5, 7, 40
6, 9, 68
7, 9, 51
8, 12, 51
9, 13, 32
10, 16, 65
11, 16, 38
12, 18, 62
13, 20, 66
14, 21, 30
15, 24, 45
16, 26, 48
17, 28, 58
18, 28, 69
19, 28, 54
20, 29, 80
21, 31, 50
22, 32, 57
23, 35, 77
24, 35, 48
25, 35, 76
26, 38, 67
27, 41, 34
28, 41, 77
29, 44, 66
30, 44, 36
31, 46, 46
32, 46, 44
33, 47, 62
34, 50, 35
35, 53, 53
36, 55, 52
37, 57, 53
38, 57, 64
39, 60, 31
40, 63, 42
41, 65, 49
42, 67, 35
43, 69, 71
44, 71, 70
45, 72, 34
46, 75, 52
47, 77, 37
48, 80, 68
49, 81, 56
50, 81, 66
51, 82, 47
52, 83, 34
53, 86, 62
54, 88, 71
55, 91, 80
56, 92, 51
57, 95, 52
58, 97, 49
59, 98, 50
60, 100, 50
61, 100, 51
62, 101, 37
63, 102, 44
64, 102, 39
65, 105, 71
66, 108, 31
67, 111, 47
68, 112, 64
69, 112, 60
70, 112, 68
71, 115, 32
72, 118, 53
73, 120, 78
74, 121, 44
75, 122, 68
76, 124, 74
77, 124, 38
78, 125, 62
79, 128, 39
80, 130, 49
81, 131, 66
82, 134, 48
83, 134, 57
84, 134, 67
85, 135, 72
86, 137, 64
87, 139, 44
88, 141, 49
89, 143, 47
90, 144, 50
91, 147, 77
92, 149, 55
93, 150, 59
94, 153, 78
95, 153, 37
96, 153, 47
97, 154, 32
98, 157, 55
99, 158, 46
100, 158, 68
101, 160, 43
102, 163, 54
103, 165, 39
104, 168, 44
105, 170, 59
106, 173, 60
107, 175, 49
108, 176, 37
109, 176, 54
110, 177, 32
111, 180, 63
112, 180, 62
113, 180, 70
114, 181, 34
115, 183, 31
116, 183, 47
117, 185, 47
118, 186, 39
119, 187, 48
120, 188, 40
121, 188, 55
122, 190, 60
123, 190, 33
124, 191, 77
125, 193, 54
126, 196, 37
127, 199, 59
128, 200, 43
129, 203, 36
130, 205, 62
131, 208, 60
132, 210, 79
133, 210, 37
134, 213, 76
135, 215, 71
136, 215, 61
137, 215, 57
138, 217, 50
139, 220, 46
140, 222, 62
141, 224, 41
142, 225, 67
143, 227, 50
144, 228, 33
145, 228, 78
146, 231, 65
147, 231, 64
148, 232, 58
149, 232, 53
150, 233, 76
